date,upset,isPartial
2013-01-06,67,False
2013-01-13,61,False
2013-01-20,65,False
2013-01-27,66,False
2013-02-03,64,False
2013-02-10,60,False
2013-02-17,66,False
2013-02-24,66,False
2013-03-03,63,False
2013-03-10,63,False
2013-03-17,100,False
2013-03-24,66,False
2013-03-31,64,False
2013-04-07,65,False
2013-04-14,61,False
2013-04-21,61,False
2013-04-28,58,False
2013-05-05,57,False
2013-05-12,57,False
2013-05-19,58,False
2013-05-26,59,False
2013-06-02,62,False
2013-06-09,58,False
2013-06-16,55,False
2013-06-23,64,False
2013-06-30,61,False
2013-07-07,58,False
2013-07-14,62,False
2013-07-21,60,False
2013-07-28,55,False
2013-08-04,57,False
2013-08-11,56,False
2013-08-18,55,False
2013-08-25,63,False
2013-09-01,65,False
2013-09-08,63,False
2013-09-15,67,False
2013-09-22,65,False
2013-09-29,62,False
2013-10-06,63,False
2013-10-13,58,False
2013-10-20,61,False
2013-10-27,61,False
2013-11-03,59,False
2013-11-10,63,False
2013-11-17,65,False
2013-11-24,60,False
2013-12-01,67,False
2013-12-08,66,False
2013-12-15,67,False
2013-12-22,68,False
2013-12-29,75,False
