geoName,upset
Alabama,93
Alaska,52
Arizona,78
Arkansas,84
California,70
Colorado,67
Connecticut,83
Delaware,98
District of Columbia,81
Florida,77
Georgia,85
Hawaii,82
Idaho,84
Illinois,79
Indiana,83
Iowa,66
Kansas,83
Kentucky,93
Louisiana,75
Maine,74
Maryland,78
Massachusetts,76
Michigan,77
Minnesota,77
Mississippi,89
Missouri,78
Montana,88
Nebraska,71
Nevada,83
New Hampshire,65
New Jersey,74
New Mexico,72
New York,77
North Carolina,82
North Dakota,81
Ohio,81
Oklahoma,84
Oregon,48
Pennsylvania,85
Rhode Island,84
South Carolina,90
South Dakota,72
Tennessee,89
Texas,77
Utah,77
Vermont,82
Virginia,88
Washington,73
West Virginia,100
Wisconsin,71
Wyoming,69
