geoName,upset
Alabama,93
Alaska,59
Arizona,84
Arkansas,100
California,79
Colorado,82
Connecticut,74
Delaware,83
District of Columbia,85
Florida,84
Georgia,91
Hawaii,78
Idaho,76
Illinois,79
Indiana,91
Iowa,94
Kansas,73
Kentucky,97
Louisiana,88
Maine,77
Maryland,86
Massachusetts,79
Michigan,82
Minnesota,71
Mississippi,83
Missouri,81
Montana,84
Nebraska,91
Nevada,91
New Hampshire,93
New Jersey,78
New Mexico,93
New York,80
North Carolina,85
North Dakota,79
Ohio,95
Oklahoma,84
Oregon,53
Pennsylvania,93
Rhode Island,73
South Carolina,85
South Dakota,77
Tennessee,93
Texas,83
Utah,82
Vermont,67
Virginia,60
Washington,77
West Virginia,100
Wisconsin,81
Wyoming,73
