date,upset,isPartial
2012-01-01,69,False
2012-01-08,64,False
2012-01-15,63,False
2012-01-22,63,False
2012-01-29,61,False
2012-02-05,65,False
2012-02-12,64,False
2012-02-19,65,False
2012-02-26,65,False
2012-03-04,55,False
2012-03-11,100,False
2012-03-18,63,False
2012-03-25,56,False
2012-04-01,59,False
2012-04-08,54,False
2012-04-15,62,False
2012-04-22,65,False
2012-04-29,63,False
2012-05-06,62,False
2012-05-13,56,False
2012-05-20,60,False
2012-05-27,59,False
2012-06-03,63,False
2012-06-10,64,False
2012-06-17,53,False
2012-06-24,65,False
2012-07-01,64,False
2012-07-08,65,False
2012-07-15,59,False
2012-07-22,64,False
2012-07-29,71,False
2012-08-05,64,False
2012-08-12,64,False
2012-08-19,63,False
2012-08-26,63,False
2012-09-02,73,False
2012-09-09,78,False
2012-09-16,79,False
2012-09-23,69,False
2012-09-30,69,False
2012-10-07,65,False
2012-10-14,72,False
2012-10-21,67,False
2012-10-28,59,False
2012-11-04,80,False
2012-11-11,76,False
2012-11-18,64,False
2012-11-25,71,False
2012-12-02,68,False
2012-12-09,70,False
2012-12-16,63,False
2012-12-23,71,False
2012-12-30,76,False
