date,upset,isPartial
2014-01-05,61,False
2014-01-12,62,False
2014-01-19,58,False
2014-01-26,60,False
2014-02-02,68,False
2014-02-09,60,False
2014-02-16,67,False
2014-02-23,60,False
2014-03-02,59,False
2014-03-09,59,False
2014-03-16,100,False
2014-03-23,70,False
2014-03-30,59,False
2014-04-06,62,False
2014-04-13,58,False
2014-04-20,55,False
2014-04-27,62,False
2014-05-04,60,False
2014-05-11,62,False
2014-05-18,53,False
2014-05-25,55,False
2014-06-01,56,False
2014-06-08,57,False
2014-06-15,56,False
2014-06-22,54,False
2014-06-29,56,False
2014-07-06,61,False
2014-07-13,55,False
2014-07-20,58,False
2014-07-27,57,False
2014-08-03,54,False
2014-08-10,55,False
2014-08-17,50,False
2014-08-24,65,False
2014-08-31,55,False
2014-09-07,60,False
2014-09-14,60,False
2014-09-21,55,False
2014-09-28,62,False
2014-10-05,64,False
2014-10-12,53,False
2014-10-19,62,False
2014-10-26,63,False
2014-11-02,58,False
2014-11-09,56,False
2014-11-16,60,False
2014-11-23,56,False
2014-11-30,58,False
2014-12-07,64,False
2014-12-14,64,False
2014-12-21,64,False
2014-12-28,68,False
