date,upset,isPartial
2015-01-04,63,False
2015-01-11,56,False
2015-01-18,57,False
2015-01-25,60,False
2015-02-01,57,False
2015-02-08,58,False
2015-02-15,64,False
2015-02-22,63,False
2015-03-01,60,False
2015-03-08,64,False
2015-03-15,100,False
2015-03-22,64,False
2015-03-29,56,False
2015-04-05,60,False
2015-04-12,55,False
2015-04-19,56,False
2015-04-26,57,False
2015-05-03,55,False
2015-05-10,57,False
2015-05-17,55,False
2015-05-24,54,False
2015-05-31,53,False
2015-06-07,55,False
2015-06-14,51,False
2015-06-21,60,False
2015-06-28,61,False
2015-07-05,56,False
2015-07-12,58,False
2015-07-19,58,False
2015-07-26,61,False
2015-08-02,54,False
2015-08-09,56,False
2015-08-16,59,False
2015-08-23,52,False
2015-08-30,58,False
2015-09-06,62,False
2015-09-13,58,False
2015-09-20,60,False
2015-09-27,60,False
2015-10-04,62,False
2015-10-11,56,False
2015-10-18,59,False
2015-10-25,60,False
2015-11-01,56,False
2015-11-08,69,False
2015-11-15,67,False
2015-11-22,62,False
2015-11-29,58,False
2015-12-06,59,False
2015-12-13,59,False
2015-12-20,62,False
2015-12-27,67,False
