date,upset,isPartial
2011-01-02,60,False
2011-01-09,57,False
2011-01-16,61,False
2011-01-23,64,False
2011-01-30,62,False
2011-02-06,54,False
2011-02-13,60,False
2011-02-20,59,False
2011-02-27,59,False
2011-03-06,49,False
2011-03-13,100,False
2011-03-20,60,False
2011-03-27,56,False
2011-04-03,62,False
2011-04-10,51,False
2011-04-17,56,False
2011-04-24,50,False
2011-05-01,56,False
2011-05-08,53,False
2011-05-15,60,False
2011-05-22,59,False
2011-05-29,53,False
2011-06-05,54,False
2011-06-12,55,False
2011-06-19,52,False
2011-06-26,57,False
2011-07-03,56,False
2011-07-10,56,False
2011-07-17,55,False
2011-07-24,55,False
2011-07-31,51,False
2011-08-07,57,False
2011-08-14,57,False
2011-08-21,57,False
2011-08-28,54,False
2011-09-04,57,False
2011-09-11,57,False
2011-09-18,56,False
2011-09-25,65,False
2011-10-02,55,False
2011-10-09,61,False
2011-10-16,59,False
2011-10-23,67,False
2011-10-30,62,False
2011-11-06,57,False
2011-11-13,65,False
2011-11-20,59,False
2011-11-27,59,False
2011-12-04,59,False
2011-12-11,61,False
2011-12-18,67,False
2011-12-25,66,False
