geoName,upset
Alabama,84
Alaska,65
Arizona,81
Arkansas,93
California,73
Colorado,76
Connecticut,76
Delaware,82
District of Columbia,84
Florida,75
Georgia,87
Hawaii,74
Idaho,80
Illinois,78
Indiana,91
Iowa,85
Kansas,71
Kentucky,93
Louisiana,75
Maine,83
Maryland,83
Massachusetts,74
Michigan,89
Minnesota,73
Mississippi,96
Missouri,83
Montana,75
Nebraska,78
Nevada,81
New Hampshire,90
New Jersey,81
New Mexico,88
New York,76
North Carolina,90
North Dakota,91
Ohio,87
Oklahoma,94
Oregon,67
Pennsylvania,88
Rhode Island,70
South Carolina,89
South Dakota,91
Tennessee,80
Texas,77
Utah,83
Vermont,76
Virginia,84
Washington,76
West Virginia,100
Wisconsin,74
Wyoming,77
