geoName,upset
Alabama,88
Alaska,82
Arizona,76
Arkansas,86
California,75
Colorado,74
Connecticut,80
Delaware,86
District of Columbia,83
Florida,84
Georgia,81
Hawaii,79
Idaho,80
Illinois,85
Indiana,84
Iowa,83
Kansas,81
Kentucky,90
Louisiana,86
Maine,69
Maryland,86
Massachusetts,79
Michigan,86
Minnesota,71
Mississippi,100
Missouri,84
Montana,84
Nebraska,81
Nevada,82
New Hampshire,72
New Jersey,77
New Mexico,65
New York,78
North Carolina,84
North Dakota,72
Ohio,78
Oklahoma,99
Oregon,68
Pennsylvania,90
Rhode Island,79
South Carolina,83
South Dakota,92
Tennessee,93
Texas,82
Utah,69
Vermont,53
Virginia,83
Washington,79
West Virginia,99
Wisconsin,85
Wyoming,86
