geoName,wounded
Alabama,43
Alaska,39
Arizona,35
Arkansas,35
California,25
Colorado,38
Connecticut,32
Delaware,42
District of Columbia,44
Florida,37
Georgia,33
Hawaii,42
Idaho,36
Illinois,26
Indiana,32
Iowa,33
Kansas,33
Kentucky,35
Louisiana,30
Maine,34
Maryland,46
Massachusetts,32
Michigan,26
Minnesota,30
Mississippi,34
Missouri,32
Montana,54
Nebraska,34
Nevada,24
New Hampshire,49
New Jersey,27
New Mexico,39
New York,27
North Carolina,40
North Dakota,33
Ohio,32
Oklahoma,41
Oregon,28
Pennsylvania,36
Rhode Island,29
South Carolina,43
South Dakota,100
Tennessee,39
Texas,34
Utah,29
Vermont,36
Virginia,56
Washington,29
West Virginia,38
Wisconsin,32
Wyoming,62
