geoName,wounded
Alabama,44
Alaska,57
Arizona,45
Arkansas,52
California,33
Colorado,46
Connecticut,46
Delaware,47
District of Columbia,41
Florida,46
Georgia,39
Hawaii,37
Idaho,33
Illinois,35
Indiana,46
Iowa,44
Kansas,38
Kentucky,42
Louisiana,43
Maine,36
Maryland,48
Massachusetts,40
Michigan,39
Minnesota,44
Mississippi,39
Missouri,44
Montana,70
Nebraska,41
Nevada,32
New Hampshire,58
New Jersey,40
New Mexico,56
New York,34
North Carolina,50
North Dakota,36
Ohio,40
Oklahoma,49
Oregon,27
Pennsylvania,48
Rhode Island,29
South Carolina,43
South Dakota,100
Tennessee,43
Texas,38
Utah,27
Vermont,55
Virginia,38
Washington,37
West Virginia,49
Wisconsin,44
Wyoming,74
