geoName,wounded
Alabama,47
Alaska,52
Arizona,41
Arkansas,40
California,33
Colorado,43
Connecticut,35
Delaware,28
District of Columbia,60
Florida,41
Georgia,34
Hawaii,42
Idaho,44
Illinois,33
Indiana,38
Iowa,46
Kansas,40
Kentucky,39
Louisiana,37
Maine,42
Maryland,54
Massachusetts,37
Michigan,35
Minnesota,39
Mississippi,34
Missouri,37
Montana,64
Nebraska,44
Nevada,31
New Hampshire,38
New Jersey,36
New Mexico,52
New York,35
North Carolina,49
North Dakota,41
Ohio,36
Oklahoma,54
Oregon,42
Pennsylvania,41
Rhode Island,49
South Carolina,53
South Dakota,100
Tennessee,44
Texas,39
Utah,31
Vermont,46
Virginia,75
Washington,35
West Virginia,45
Wisconsin,38
Wyoming,58
