date,hopelessness,isPartial
2016-01-03,27,False
2016-01-10,37,False
2016-01-17,20,False
2016-01-24,24,False
2016-01-31,41,False
2016-02-07,63,False
2016-02-14,53,False
2016-02-21,53,False
2016-02-28,34,False
2016-03-06,45,False
2016-03-13,47,False
2016-03-20,39,False
2016-03-27,36,False
2016-04-03,44,False
2016-04-10,42,False
2016-04-17,41,False
2016-04-24,53,False
2016-05-01,100,False
2016-05-08,78,False
2016-05-15,83,False
2016-05-22,62,False
2016-05-29,51,False
2016-06-05,37,False
2016-06-12,29,False
2016-06-19,34,False
2016-06-26,29,False
2016-07-03,29,False
2016-07-10,30,False
2016-07-17,36,False
2016-07-24,40,False
2016-07-31,42,False
2016-08-07,18,False
2016-08-14,20,False
2016-08-21,34,False
2016-08-28,41,False
2016-09-04,45,False
2016-09-11,50,False
2016-09-18,37,False
2016-09-25,24,False
2016-10-02,36,False
2016-10-09,34,False
2016-10-16,58,False
2016-10-23,54,False
2016-10-30,70,False
2016-11-06,81,False
2016-11-13,45,False
2016-11-20,53,False
2016-11-27,62,False
2016-12-04,59,False
2016-12-11,56,False
2016-12-18,36,False
2016-12-25,25,False
