date,hopelessness,isPartial
2014-01-05,47,False
2014-01-12,40,False
2014-01-19,33,False
2014-01-26,36,False
2014-02-02,57,False
2014-02-09,60,False
2014-02-16,39,False
2014-02-23,60,False
2014-03-02,52,False
2014-03-09,87,False
2014-03-16,93,False
2014-03-23,50,False
2014-03-30,79,False
2014-04-06,40,False
2014-04-13,66,False
2014-04-20,59,False
2014-04-27,62,False
2014-05-04,85,False
2014-05-11,30,False
2014-05-18,74,False
2014-05-25,31,False
2014-06-01,72,False
2014-06-08,47,False
2014-06-15,66,False
2014-06-22,44,False
2014-06-29,28,False
2014-07-06,69,False
2014-07-13,65,False
2014-07-20,60,False
2014-07-27,47,False
2014-08-03,45,False
2014-08-10,38,False
2014-08-17,42,False
2014-08-24,21,False
2014-08-31,46,False
2014-09-07,83,False
2014-09-14,60,False
2014-09-21,44,False
2014-09-28,60,False
2014-10-05,92,False
2014-10-12,32,False
2014-10-19,100,False
2014-10-26,52,False
2014-11-02,67,False
2014-11-09,98,False
2014-11-16,63,False
2014-11-23,42,False
2014-11-30,57,False
2014-12-07,78,False
2014-12-14,91,False
2014-12-21,19,False
2014-12-28,53,False
