date,hopelessness,isPartial
2013-01-06,62,False
2013-01-13,53,False
2013-01-20,49,False
2013-01-27,82,False
2013-02-03,74,False
2013-02-10,74,False
2013-02-17,57,False
2013-02-24,38,False
2013-03-03,61,False
2013-03-10,69,False
2013-03-17,52,False
2013-03-24,31,False
2013-03-31,66,False
2013-04-07,70,False
2013-04-14,74,False
2013-04-21,93,False
2013-04-28,88,False
2013-05-05,44,False
2013-05-12,68,False
2013-05-19,58,False
2013-05-26,42,False
2013-06-02,59,False
2013-06-09,42,False
2013-06-16,50,False
2013-06-23,37,False
2013-06-30,34,False
2013-07-07,50,False
2013-07-14,58,False
2013-07-21,63,False
2013-07-28,54,False
2013-08-04,32,False
2013-08-11,49,False
2013-08-18,36,False
2013-08-25,39,False
2013-09-01,49,False
2013-09-08,81,False
2013-09-15,81,False
2013-09-22,87,False
2013-09-29,73,False
2013-10-06,100,False
2013-10-13,79,False
2013-10-20,65,False
2013-10-27,60,False
2013-11-03,56,False
2013-11-10,68,False
2013-11-17,88,False
2013-11-24,32,False
2013-12-01,48,False
2013-12-08,80,False
2013-12-15,48,False
2013-12-22,35,False
2013-12-29,45,False
