geoName,abandoned
Alabama,50
Alaska,53
Arizona,69
Arkansas,56
California,54
Colorado,54
Connecticut,61
Delaware,74
District of Columbia,58
Florida,56
Georgia,52
Hawaii,63
Idaho,70
Illinois,54
Indiana,59
Iowa,51
Kansas,75
Kentucky,57
Louisiana,63
Maine,70
Maryland,60
Massachusetts,77
Michigan,61
Minnesota,47
Mississippi,68
Missouri,63
Montana,63
Nebraska,40
Nevada,62
New Hampshire,100
New Jersey,71
New Mexico,64
New York,59
North Carolina,54
North Dakota,39
Ohio,62
Oklahoma,73
Oregon,66
Pennsylvania,74
Rhode Island,87
South Carolina,59
South Dakota,65
Tennessee,61
Texas,50
Utah,58
Vermont,67
Virginia,58
Washington,62
West Virginia,82
Wisconsin,55
Wyoming,51
