geoName,abandoned
Alabama,75
Alaska,76
Arizona,77
Arkansas,71
California,67
Colorado,70
Connecticut,78
Delaware,82
District of Columbia,54
Florida,70
Georgia,66
Hawaii,69
Idaho,66
Illinois,65
Indiana,77
Iowa,70
Kansas,73
Kentucky,76
Louisiana,70
Maine,90
Maryland,71
Massachusetts,78
Michigan,82
Minnesota,64
Mississippi,69
Missouri,79
Montana,62
Nebraska,76
Nevada,68
New Hampshire,91
New Jersey,78
New Mexico,88
New York,73
North Carolina,69
North Dakota,85
Ohio,83
Oklahoma,87
Oregon,51
Pennsylvania,94
Rhode Island,91
South Carolina,78
South Dakota,67
Tennessee,75
Texas,61
Utah,71
Vermont,97
Virginia,72
Washington,74
West Virginia,100
Wisconsin,73
Wyoming,79
