geoName,abandoned
Alabama,78
Alaska,79
Arizona,74
Arkansas,84
California,68
Colorado,66
Connecticut,70
Delaware,98
District of Columbia,69
Florida,66
Georgia,68
Hawaii,71
Idaho,88
Illinois,63
Indiana,90
Iowa,80
Kansas,61
Kentucky,69
Louisiana,68
Maine,87
Maryland,77
Massachusetts,84
Michigan,77
Minnesota,70
Mississippi,69
Missouri,81
Montana,77
Nebraska,75
Nevada,81
New Hampshire,81
New Jersey,74
New Mexico,65
New York,68
North Carolina,69
North Dakota,76
Ohio,93
Oklahoma,78
Oregon,61
Pennsylvania,100
Rhode Island,81
South Carolina,75
South Dakota,88
Tennessee,71
Texas,62
Utah,68
Vermont,91
Virginia,48
Washington,74
West Virginia,95
Wisconsin,74
Wyoming,80
