geoName,abandoned
Alabama,81
Alaska,72
Arizona,74
Arkansas,82
California,67
Colorado,70
Connecticut,79
Delaware,66
District of Columbia,71
Florida,66
Georgia,63
Hawaii,70
Idaho,74
Illinois,66
Indiana,85
Iowa,71
Kansas,74
Kentucky,79
Louisiana,68
Maine,99
Maryland,72
Massachusetts,71
Michigan,72
Minnesota,65
Mississippi,63
Missouri,74
Montana,78
Nebraska,61
Nevada,65
New Hampshire,100
New Jersey,79
New Mexico,65
New York,72
North Carolina,67
North Dakota,63
Ohio,90
Oklahoma,87
Oregon,81
Pennsylvania,95
Rhode Island,73
South Carolina,67
South Dakota,68
Tennessee,75
Texas,60
Utah,66
Vermont,78
Virginia,69
Washington,73
West Virginia,96
Wisconsin,74
Wyoming,61
