geoName,abandoned
Alabama,73
Alaska,69
Arizona,69
Arkansas,85
California,65
Colorado,68
Connecticut,74
Delaware,85
District of Columbia,60
Florida,70
Georgia,65
Hawaii,65
Idaho,73
Illinois,66
Indiana,79
Iowa,68
Kansas,66
Kentucky,78
Louisiana,72
Maine,95
Maryland,67
Massachusetts,75
Michigan,74
Minnesota,64
Mississippi,67
Missouri,72
Montana,78
Nebraska,65
Nevada,63
New Hampshire,100
New Jersey,74
New Mexico,75
New York,74
North Carolina,70
North Dakota,79
Ohio,85
Oklahoma,82
Oregon,49
Pennsylvania,91
Rhode Island,92
South Carolina,68
South Dakota,72
Tennessee,76
Texas,61
Utah,73
Vermont,93
Virginia,59
Washington,80
West Virginia,86
Wisconsin,71
Wyoming,71
