date,abandoned,isPartial
2012-01-01,78,False
2012-01-08,85,False
2012-01-15,92,False
2012-01-22,77,False
2012-01-29,79,False
2012-02-05,82,False
2012-02-12,71,False
2012-02-19,78,False
2012-02-26,73,False
2012-03-04,77,False
2012-03-11,71,False
2012-03-18,75,False
2012-03-25,84,False
2012-04-01,68,False
2012-04-08,82,False
2012-04-15,75,False
2012-04-22,82,False
2012-04-29,83,False
2012-05-06,83,False
2012-05-13,86,False
2012-05-20,91,False
2012-05-27,92,False
2012-06-03,84,False
2012-06-10,85,False
2012-06-17,86,False
2012-06-24,82,False
2012-07-01,88,False
2012-07-08,87,False
2012-07-15,80,False
2012-07-22,94,False
2012-07-29,84,False
2012-08-05,86,False
2012-08-12,89,False
2012-08-19,100,False
2012-08-26,92,False
2012-09-02,88,False
2012-09-09,84,False
2012-09-16,85,False
2012-09-23,92,False
2012-09-30,92,False
2012-10-07,88,False
2012-10-14,95,False
2012-10-21,86,False
2012-10-28,82,False
2012-11-04,72,False
2012-11-11,79,False
2012-11-18,75,False
2012-11-25,70,False
2012-12-02,72,False
2012-12-09,69,False
2012-12-16,72,False
2012-12-23,79,False
2012-12-30,81,False
