date,abandoned,isPartial
2015-01-04,81,False
2015-01-11,74,False
2015-01-18,84,False
2015-01-25,81,False
2015-02-01,69,False
2015-02-08,72,False
2015-02-15,71,False
2015-02-22,66,False
2015-03-01,67,False
2015-03-08,74,False
2015-03-15,78,False
2015-03-22,84,False
2015-03-29,84,False
2015-04-05,82,False
2015-04-12,82,False
2015-04-19,80,False
2015-04-26,76,False
2015-05-03,78,False
2015-05-10,74,False
2015-05-17,77,False
2015-05-24,86,False
2015-05-31,82,False
2015-06-07,100,False
2015-06-14,88,False
2015-06-21,80,False
2015-06-28,88,False
2015-07-05,94,False
2015-07-12,90,False
2015-07-19,89,False
2015-07-26,88,False
2015-08-02,84,False
2015-08-09,84,False
2015-08-16,79,False
2015-08-23,77,False
2015-08-30,75,False
2015-09-06,83,False
2015-09-13,73,False
2015-09-20,77,False
2015-09-27,71,False
2015-10-04,80,False
2015-10-11,85,False
2015-10-18,84,False
2015-10-25,78,False
2015-11-01,76,False
2015-11-08,74,False
2015-11-15,75,False
2015-11-22,76,False
2015-11-29,75,False
2015-12-06,78,False
2015-12-13,71,False
2015-12-20,78,False
2015-12-27,91,False
