date,abandoned,isPartial
2016-01-03,79,False
2016-01-10,79,False
2016-01-17,85,False
2016-01-24,82,False
2016-01-31,78,False
2016-02-07,76,False
2016-02-14,73,False
2016-02-21,77,False
2016-02-28,74,False
2016-03-06,78,False
2016-03-13,89,False
2016-03-20,89,False
2016-03-27,88,False
2016-04-03,94,False
2016-04-10,85,False
2016-04-17,83,False
2016-04-24,81,False
2016-05-01,82,False
2016-05-08,86,False
2016-05-15,93,False
2016-05-22,95,False
2016-05-29,89,False
2016-06-05,100,False
2016-06-12,93,False
2016-06-19,87,False
2016-06-26,85,False
2016-07-03,82,False
2016-07-10,90,False
2016-07-17,83,False
2016-07-24,86,False
2016-07-31,78,False
2016-08-07,92,False
2016-08-14,88,False
2016-08-21,76,False
2016-08-28,75,False
2016-09-04,76,False
2016-09-11,72,False
2016-09-18,76,False
2016-09-25,72,False
2016-10-02,90,False
2016-10-09,81,False
2016-10-16,89,False
2016-10-23,81,False
2016-10-30,78,False
2016-11-06,69,False
2016-11-13,79,False
2016-11-20,75,False
2016-11-27,73,False
2016-12-04,73,False
2016-12-11,69,False
2016-12-18,67,False
2016-12-25,76,False
