date,abandoned,isPartial
2011-01-02,89,False
2011-01-09,78,False
2011-01-16,70,False
2011-01-23,72,False
2011-01-30,79,False
2011-02-06,67,False
2011-02-13,70,False
2011-02-20,71,False
2011-02-27,68,False
2011-03-06,76,False
2011-03-13,72,False
2011-03-20,84,False
2011-03-27,78,False
2011-04-03,100,False
2011-04-10,84,False
2011-04-17,78,False
2011-04-24,89,False
2011-05-01,92,False
2011-05-08,87,False
2011-05-15,81,False
2011-05-22,91,False
2011-05-29,80,False
2011-06-05,68,False
2011-06-12,85,False
2011-06-19,78,False
2011-06-26,75,False
2011-07-03,82,False
2011-07-10,81,False
2011-07-17,77,False
2011-07-24,89,False
2011-07-31,83,False
2011-08-07,83,False
2011-08-14,76,False
2011-08-21,73,False
2011-08-28,74,False
2011-09-04,75,False
2011-09-11,83,False
2011-09-18,75,False
2011-09-25,81,False
2011-10-02,77,False
2011-10-09,96,False
2011-10-16,95,False
2011-10-23,86,False
2011-10-30,75,False
2011-11-06,76,False
2011-11-13,87,False
2011-11-20,78,False
2011-11-27,75,False
2011-12-04,69,False
2011-12-11,70,False
2011-12-18,62,False
2011-12-25,76,False
