date,patience,isPartial
2012-01-01,82,False
2012-01-08,87,False
2012-01-15,85,False
2012-01-22,83,False
2012-01-29,90,False
2012-02-05,92,False
2012-02-12,86,False
2012-02-19,79,False
2012-02-26,87,False
2012-03-04,85,False
2012-03-11,80,False
2012-03-18,74,False
2012-03-25,80,False
2012-04-01,71,False
2012-04-08,84,False
2012-04-15,80,False
2012-04-22,88,False
2012-04-29,90,False
2012-05-06,90,False
2012-05-13,86,False
2012-05-20,84,False
2012-05-27,74,False
2012-06-03,78,False
2012-06-10,79,False
2012-06-17,81,False
2012-06-24,86,False
2012-07-01,76,False
2012-07-08,94,False
2012-07-15,91,False
2012-07-22,79,False
2012-07-29,78,False
2012-08-05,76,False
2012-08-12,84,False
2012-08-19,89,False
2012-08-26,76,False
2012-09-02,87,False
2012-09-09,90,False
2012-09-16,100,False
2012-09-23,88,False
2012-09-30,84,False
2012-10-07,82,False
2012-10-14,80,False
2012-10-21,79,False
2012-10-28,83,False
2012-11-04,84,False
2012-11-11,83,False
2012-11-18,75,False
2012-11-25,92,False
2012-12-02,87,False
2012-12-09,84,False
2012-12-16,86,False
2012-12-23,74,False
2012-12-30,75,False
