date,patience,isPartial
2015-01-04,86,False
2015-01-11,78,False
2015-01-18,79,False
2015-01-25,77,False
2015-02-01,79,False
2015-02-08,83,False
2015-02-15,84,False
2015-02-22,77,False
2015-03-01,82,False
2015-03-08,86,False
2015-03-15,93,False
2015-03-22,76,False
2015-03-29,85,False
2015-04-05,76,False
2015-04-12,89,False
2015-04-19,84,False
2015-04-26,87,False
2015-05-03,90,False
2015-05-10,88,False
2015-05-17,84,False
2015-05-24,91,False
2015-05-31,88,False
2015-06-07,93,False
2015-06-14,82,False
2015-06-21,79,False
2015-06-28,79,False
2015-07-05,73,False
2015-07-12,77,False
2015-07-19,100,False
2015-07-26,85,False
2015-08-02,78,False
2015-08-09,83,False
2015-08-16,87,False
2015-08-23,84,False
2015-08-30,85,False
2015-09-06,79,False
2015-09-13,87,False
2015-09-20,85,False
2015-09-27,85,False
2015-10-04,83,False
2015-10-11,87,False
2015-10-18,77,False
2015-10-25,83,False
2015-11-01,79,False
2015-11-08,81,False
2015-11-15,80,False
2015-11-22,76,False
2015-11-29,81,False
2015-12-06,85,False
2015-12-13,82,False
2015-12-20,75,False
2015-12-27,79,False
