geoName,patience
Alabama,84
Alaska,77
Arizona,74
Arkansas,90
California,73
Colorado,82
Connecticut,65
Delaware,70
District of Columbia,70
Florida,75
Georgia,79
Hawaii,83
Idaho,74
Illinois,65
Indiana,82
Iowa,65
Kansas,84
Kentucky,80
Louisiana,78
Maine,74
Maryland,79
Massachusetts,62
Michigan,68
Minnesota,66
Mississippi,100
Missouri,72
Montana,55
Nebraska,79
Nevada,81
New Hampshire,73
New Jersey,68
New Mexico,74
New York,77
North Carolina,76
North Dakota,89
Ohio,69
Oklahoma,97
Oregon,74
Pennsylvania,71
Rhode Island,67
South Carolina,91
South Dakota,61
Tennessee,82
Texas,78
Utah,83
Vermont,74
Virginia,73
Washington,79
West Virginia,73
Wisconsin,71
Wyoming,53
