date,patience,isPartial
2016-01-03,73,False
2016-01-10,67,False
2016-01-17,68,False
2016-01-24,73,False
2016-01-31,72,False
2016-02-07,70,False
2016-02-14,68,False
2016-02-21,71,False
2016-02-28,68,False
2016-03-06,67,False
2016-03-13,70,False
2016-03-20,73,False
2016-03-27,69,False
2016-04-03,72,False
2016-04-10,76,False
2016-04-17,71,False
2016-04-24,73,False
2016-05-01,76,False
2016-05-08,79,False
2016-05-15,80,False
2016-05-22,71,False
2016-05-29,70,False
2016-06-05,71,False
2016-06-12,100,False
2016-06-19,82,False
2016-06-26,72,False
2016-07-03,63,False
2016-07-10,67,False
2016-07-17,73,False
2016-07-24,78,False
2016-07-31,71,False
2016-08-07,75,False
2016-08-14,68,False
2016-08-21,70,False
2016-08-28,74,False
2016-09-04,67,False
2016-09-11,75,False
2016-09-18,79,False
2016-09-25,78,False
2016-10-02,68,False
2016-10-09,70,False
2016-10-16,65,False
2016-10-23,66,False
2016-10-30,66,False
2016-11-06,61,False
2016-11-13,71,False
2016-11-20,63,False
2016-11-27,69,False
2016-12-04,69,False
2016-12-11,70,False
2016-12-18,67,False
2016-12-25,54,False
