date,patience,isPartial
2014-01-05,77,False
2014-01-12,80,False
2014-01-19,80,False
2014-01-26,82,False
2014-02-02,80,False
2014-02-09,75,False
2014-02-16,74,False
2014-02-23,82,False
2014-03-02,77,False
2014-03-09,81,False
2014-03-16,77,False
2014-03-23,79,False
2014-03-30,80,False
2014-04-06,81,False
2014-04-13,77,False
2014-04-20,79,False
2014-04-27,80,False
2014-05-04,94,False
2014-05-11,82,False
2014-05-18,86,False
2014-05-25,74,False
2014-06-01,79,False
2014-06-08,76,False
2014-06-15,85,False
2014-06-22,71,False
2014-06-29,67,False
2014-07-06,80,False
2014-07-13,73,False
2014-07-20,80,False
2014-07-27,83,False
2014-08-03,76,False
2014-08-10,78,False
2014-08-17,77,False
2014-08-24,72,False
2014-08-31,84,False
2014-09-07,79,False
2014-09-14,79,False
2014-09-21,82,False
2014-09-28,74,False
2014-10-05,78,False
2014-10-12,87,False
2014-10-19,78,False
2014-10-26,100,False
2014-11-02,80,False
2014-11-09,76,False
2014-11-16,86,False
2014-11-23,69,False
2014-11-30,75,False
2014-12-07,74,False
2014-12-14,88,False
2014-12-21,67,False
2014-12-28,66,False
