date,patience,isPartial
2013-01-06,82,False
2013-01-13,85,False
2013-01-20,83,False
2013-01-27,93,False
2013-02-03,85,False
2013-02-10,82,False
2013-02-17,79,False
2013-02-24,76,False
2013-03-03,91,False
2013-03-10,86,False
2013-03-17,79,False
2013-03-24,81,False
2013-03-31,78,False
2013-04-07,89,False
2013-04-14,84,False
2013-04-21,89,False
2013-04-28,86,False
2013-05-05,85,False
2013-05-12,84,False
2013-05-19,83,False
2013-05-26,79,False
2013-06-02,88,False
2013-06-09,86,False
2013-06-16,86,False
2013-06-23,85,False
2013-06-30,76,False
2013-07-07,87,False
2013-07-14,78,False
2013-07-21,89,False
2013-07-28,79,False
2013-08-04,78,False
2013-08-11,85,False
2013-08-18,100,False
2013-08-25,85,False
2013-09-01,82,False
2013-09-08,91,False
2013-09-15,83,False
2013-09-22,88,False
2013-09-29,88,False
2013-10-06,80,False
2013-10-13,82,False
2013-10-20,82,False
2013-10-27,79,False
2013-11-03,92,False
2013-11-10,78,False
2013-11-17,84,False
2013-11-24,68,False
2013-12-01,78,False
2013-12-08,84,False
2013-12-15,84,False
2013-12-22,71,False
2013-12-29,74,False
