geoName,patience
Alabama,100
Alaska,73
Arizona,75
Arkansas,97
California,82
Colorado,71
Connecticut,68
Delaware,95
District of Columbia,85
Florida,82
Georgia,90
Hawaii,96
Idaho,89
Illinois,72
Indiana,84
Iowa,74
Kansas,96
Kentucky,93
Louisiana,81
Maine,78
Maryland,77
Massachusetts,75
Michigan,71
Minnesota,74
Mississippi,76
Missouri,82
Montana,73
Nebraska,67
Nevada,76
New Hampshire,71
New Jersey,80
New Mexico,76
New York,78
North Carolina,86
North Dakota,71
Ohio,84
Oklahoma,80
Oregon,74
Pennsylvania,76
Rhode Island,73
South Carolina,87
South Dakota,90
Tennessee,91
Texas,80
Utah,84
Vermont,71
Virginia,81
Washington,76
West Virginia,95
Wisconsin,70
Wyoming,73
