geoName,patience
Alabama,78
Alaska,82
Arizona,81
Arkansas,75
California,70
Colorado,70
Connecticut,68
Delaware,72
District of Columbia,80
Florida,71
Georgia,70
Hawaii,100
Idaho,73
Illinois,67
Indiana,65
Iowa,70
Kansas,70
Kentucky,60
Louisiana,74
Maine,64
Maryland,69
Massachusetts,66
Michigan,68
Minnesota,77
Mississippi,77
Missouri,76
Montana,63
Nebraska,68
Nevada,66
New Hampshire,75
New Jersey,66
New Mexico,66
New York,66
North Carolina,74
North Dakota,72
Ohio,69
Oklahoma,70
Oregon,52
Pennsylvania,65
Rhode Island,60
South Carolina,68
South Dakota,80
Tennessee,75
Texas,74
Utah,75
Vermont,51
Virginia,73
Washington,76
West Virginia,59
Wisconsin,61
Wyoming,77
