geoName,patience
Alabama,83
Alaska,79
Arizona,90
Arkansas,97
California,81
Colorado,78
Connecticut,70
Delaware,81
District of Columbia,92
Florida,80
Georgia,83
Hawaii,87
Idaho,84
Illinois,75
Indiana,82
Iowa,84
Kansas,85
Kentucky,91
Louisiana,79
Maine,92
Maryland,82
Massachusetts,72
Michigan,78
Minnesota,76
Mississippi,71
Missouri,80
Montana,81
Nebraska,82
Nevada,76
New Hampshire,73
New Jersey,71
New Mexico,70
New York,76
North Carolina,92
North Dakota,75
Ohio,76
Oklahoma,88
Oregon,74
Pennsylvania,81
Rhode Island,71
South Carolina,85
South Dakota,73
Tennessee,80
Texas,84
Utah,88
Vermont,96
Virginia,87
Washington,82
West Virginia,100
Wisconsin,73
Wyoming,80
