geoName,patience
Alabama,80
Alaska,80
Arizona,80
Arkansas,93
California,81
Colorado,78
Connecticut,69
Delaware,75
District of Columbia,84
Florida,80
Georgia,94
Hawaii,100
Idaho,81
Illinois,80
Indiana,82
Iowa,76
Kansas,68
Kentucky,82
Louisiana,87
Maine,80
Maryland,77
Massachusetts,66
Michigan,84
Minnesota,71
Mississippi,77
Missouri,85
Montana,55
Nebraska,80
Nevada,74
New Hampshire,53
New Jersey,69
New Mexico,71
New York,80
North Carolina,86
North Dakota,80
Ohio,78
Oklahoma,83
Oregon,65
Pennsylvania,79
Rhode Island,76
South Carolina,74
South Dakota,99
Tennessee,85
Texas,85
Utah,93
Vermont,75
Virginia,70
Washington,81
West Virginia,76
Wisconsin,78
Wyoming,99
