date,donut,isPartial
2014-01-05,29,False
2014-01-12,30,False
2014-01-19,33,False
2014-01-26,32,False
2014-02-02,33,False
2014-02-09,34,False
2014-02-16,30,False
2014-02-23,32,False
2014-03-02,36,False
2014-03-09,33,False
2014-03-16,30,False
2014-03-23,32,False
2014-03-30,32,False
2014-04-06,29,False
2014-04-13,31,False
2014-04-20,29,False
2014-04-27,32,False
2014-05-04,31,False
2014-05-11,31,False
2014-05-18,41,False
2014-05-25,33,False
2014-06-01,100,False
2014-06-08,36,False
2014-06-15,31,False
2014-06-22,35,False
2014-06-29,35,False
2014-07-06,36,False
2014-07-13,34,False
2014-07-20,38,False
2014-07-27,37,False
2014-08-03,35,False
2014-08-10,31,False
2014-08-17,33,False
2014-08-24,32,False
2014-08-31,34,False
2014-09-07,32,False
2014-09-14,35,False
2014-09-21,32,False
2014-09-28,34,False
2014-10-05,35,False
2014-10-12,35,False
2014-10-19,34,False
2014-10-26,34,False
2014-11-02,34,False
2014-11-09,36,False
2014-11-16,34,False
2014-11-23,30,False
2014-11-30,29,False
2014-12-07,31,False
2014-12-14,33,False
2014-12-21,32,False
2014-12-28,33,False
