geoName,donut
Alabama,65
Alaska,67
Arizona,70
Arkansas,66
California,92
Colorado,71
Connecticut,77
Delaware,72
District of Columbia,71
Florida,75
Georgia,61
Hawaii,80
Idaho,63
Illinois,73
Indiana,87
Iowa,63
Kansas,68
Kentucky,69
Louisiana,87
Maine,100
Maryland,59
Massachusetts,82
Michigan,62
Minnesota,71
Mississippi,74
Missouri,91
Montana,55
Nebraska,75
Nevada,73
New Hampshire,68
New Jersey,68
New Mexico,75
New York,73
North Carolina,57
North Dakota,59
Ohio,71
Oklahoma,92
Oregon,43
Pennsylvania,67
Rhode Island,89
South Carolina,53
South Dakota,65
Tennessee,74
Texas,73
Utah,100
Vermont,62
Virginia,48
Washington,75
West Virginia,58
Wisconsin,59
Wyoming,69
