geoName,donut
Alabama,52
Alaska,41
Arizona,52
Arkansas,53
California,68
Colorado,49
Connecticut,72
Delaware,57
District of Columbia,55
Florida,52
Georgia,49
Hawaii,50
Idaho,54
Illinois,63
Indiana,70
Iowa,49
Kansas,67
Kentucky,59
Louisiana,55
Maine,68
Maryland,58
Massachusetts,73
Michigan,46
Minnesota,61
Mississippi,53
Missouri,67
Montana,49
Nebraska,77
Nevada,59
New Hampshire,59
New Jersey,55
New Mexico,64
New York,69
North Carolina,48
North Dakota,50
Ohio,59
Oklahoma,62
Oregon,65
Pennsylvania,67
Rhode Island,100
South Carolina,46
South Dakota,50
Tennessee,57
Texas,62
Utah,87
Vermont,54
Virginia,55
Washington,70
West Virginia,52
Wisconsin,47
Wyoming,35
