geoName,donut
Alabama,50
Alaska,57
Arizona,59
Arkansas,60
California,78
Colorado,60
Connecticut,76
Delaware,54
District of Columbia,57
Florida,57
Georgia,54
Hawaii,51
Idaho,56
Illinois,67
Indiana,70
Iowa,56
Kansas,65
Kentucky,56
Louisiana,75
Maine,100
Maryland,59
Massachusetts,79
Michigan,49
Minnesota,65
Mississippi,62
Missouri,76
Montana,50
Nebraska,73
Nevada,67
New Hampshire,68
New Jersey,60
New Mexico,91
New York,68
North Carolina,50
North Dakota,49
Ohio,59
Oklahoma,72
Oregon,40
Pennsylvania,59
Rhode Island,90
South Carolina,45
South Dakota,51
Tennessee,66
Texas,62
Utah,77
Vermont,63
Virginia,60
Washington,65
West Virginia,50
Wisconsin,49
Wyoming,49
