geoName,donut
Alabama,56
Alaska,68
Arizona,71
Arkansas,62
California,91
Colorado,67
Connecticut,86
Delaware,57
District of Columbia,77
Florida,73
Georgia,65
Hawaii,79
Idaho,69
Illinois,72
Indiana,85
Iowa,68
Kansas,70
Kentucky,65
Louisiana,73
Maine,100
Maryland,63
Massachusetts,79
Michigan,64
Minnesota,67
Mississippi,67
Missouri,80
Montana,46
Nebraska,75
Nevada,69
New Hampshire,65
New Jersey,66
New Mexico,69
New York,69
North Carolina,56
North Dakota,52
Ohio,69
Oklahoma,83
Oregon,52
Pennsylvania,68
Rhode Island,89
South Carolina,56
South Dakota,58
Tennessee,70
Texas,73
Utah,94
Vermont,75
Virginia,45
Washington,69
West Virginia,63
Wisconsin,54
Wyoming,60
