date,donut,isPartial
2013-01-06,30,False
2013-01-13,28,False
2013-01-20,34,False
2013-01-27,32,False
2013-02-03,32,False
2013-02-10,38,False
2013-02-17,31,False
2013-02-24,31,False
2013-03-03,31,False
2013-03-10,32,False
2013-03-17,30,False
2013-03-24,32,False
2013-03-31,30,False
2013-04-07,32,False
2013-04-14,31,False
2013-04-21,34,False
2013-04-28,33,False
2013-05-05,32,False
2013-05-12,32,False
2013-05-19,31,False
2013-05-26,34,False
2013-06-02,100,False
2013-06-09,46,False
2013-06-16,36,False
2013-06-23,36,False
2013-06-30,36,False
2013-07-07,36,False
2013-07-14,36,False
2013-07-21,39,False
2013-07-28,37,False
2013-08-04,37,False
2013-08-11,38,False
2013-08-18,35,False
2013-08-25,34,False
2013-09-01,38,False
2013-09-08,34,False
2013-09-15,34,False
2013-09-22,40,False
2013-09-29,37,False
2013-10-06,37,False
2013-10-13,38,False
2013-10-20,36,False
2013-10-27,36,False
2013-11-03,36,False
2013-11-10,34,False
2013-11-17,36,False
2013-11-24,36,False
2013-12-01,32,False
2013-12-08,34,False
2013-12-15,35,False
2013-12-22,33,False
2013-12-29,36,False
