date,donut,isPartial
2012-01-01,42,False
2012-01-08,41,False
2012-01-15,44,False
2012-01-22,40,False
2012-01-29,40,False
2012-02-05,42,False
2012-02-12,42,False
2012-02-19,45,False
2012-02-26,38,False
2012-03-04,43,False
2012-03-11,39,False
2012-03-18,38,False
2012-03-25,40,False
2012-04-01,40,False
2012-04-08,38,False
2012-04-15,40,False
2012-04-22,44,False
2012-04-29,39,False
2012-05-06,39,False
2012-05-13,41,False
2012-05-20,40,False
2012-05-27,100,False
2012-06-03,46,False
2012-06-10,41,False
2012-06-17,39,False
2012-06-24,42,False
2012-07-01,41,False
2012-07-08,44,False
2012-07-15,43,False
2012-07-22,42,False
2012-07-29,43,False
2012-08-05,40,False
2012-08-12,40,False
2012-08-19,43,False
2012-08-26,41,False
2012-09-02,42,False
2012-09-09,44,False
2012-09-16,44,False
2012-09-23,45,False
2012-09-30,50,False
2012-10-07,49,False
2012-10-14,45,False
2012-10-21,43,False
2012-10-28,41,False
2012-11-04,40,False
2012-11-11,43,False
2012-11-18,43,False
2012-11-25,38,False
2012-12-02,42,False
2012-12-09,44,False
2012-12-16,41,False
2012-12-23,44,False
2012-12-30,45,False
