date,donut,isPartial
2011-01-02,44,False
2011-01-09,43,False
2011-01-16,45,False
2011-01-23,45,False
2011-01-30,48,False
2011-02-06,46,False
2011-02-13,44,False
2011-02-20,50,False
2011-02-27,47,False
2011-03-06,48,False
2011-03-13,44,False
2011-03-20,46,False
2011-03-27,46,False
2011-04-03,47,False
2011-04-10,48,False
2011-04-17,45,False
2011-04-24,43,False
2011-05-01,42,False
2011-05-08,40,False
2011-05-15,38,False
2011-05-22,47,False
2011-05-29,100,False
2011-06-05,48,False
2011-06-12,41,False
2011-06-19,47,False
2011-06-26,46,False
2011-07-03,43,False
2011-07-10,46,False
2011-07-17,43,False
2011-07-24,49,False
2011-07-31,49,False
2011-08-07,44,False
2011-08-14,47,False
2011-08-21,43,False
2011-08-28,45,False
2011-09-04,49,False
2011-09-11,44,False
2011-09-18,44,False
2011-09-25,47,False
2011-10-02,45,False
2011-10-09,45,False
2011-10-16,45,False
2011-10-23,47,False
2011-10-30,53,False
2011-11-06,50,False
2011-11-13,48,False
2011-11-20,43,False
2011-11-27,46,False
2011-12-04,46,False
2011-12-11,46,False
2011-12-18,49,False
2011-12-25,50,False
