date,donut,isPartial
2016-01-03,23,False
2016-01-10,23,False
2016-01-17,24,False
2016-01-24,26,False
2016-01-31,26,False
2016-02-07,29,False
2016-02-14,26,False
2016-02-21,28,False
2016-02-28,26,False
2016-03-06,25,False
2016-03-13,26,False
2016-03-20,28,False
2016-03-27,26,False
2016-04-03,26,False
2016-04-10,25,False
2016-04-17,26,False
2016-04-24,27,False
2016-05-01,29,False
2016-05-08,27,False
2016-05-15,29,False
2016-05-22,28,False
2016-05-29,100,False
2016-06-05,31,False
2016-06-12,28,False
2016-06-19,28,False
2016-06-26,29,False
2016-07-03,29,False
2016-07-10,27,False
2016-07-17,29,False
2016-07-24,29,False
2016-07-31,28,False
2016-08-07,27,False
2016-08-14,25,False
2016-08-21,27,False
2016-08-28,26,False
2016-09-04,28,False
2016-09-11,27,False
2016-09-18,26,False
2016-09-25,27,False
2016-10-02,28,False
2016-10-09,28,False
2016-10-16,28,False
2016-10-23,28,False
2016-10-30,26,False
2016-11-06,24,False
2016-11-13,25,False
2016-11-20,24,False
2016-11-27,22,False
2016-12-04,24,False
2016-12-11,25,False
2016-12-18,25,False
2016-12-25,26,False
