geoName,donut
Alabama,54
Alaska,73
Arizona,61
Arkansas,60
California,81
Colorado,63
Connecticut,74
Delaware,69
District of Columbia,62
Florida,64
Georgia,59
Hawaii,54
Idaho,58
Illinois,73
Indiana,78
Iowa,60
Kansas,85
Kentucky,64
Louisiana,84
Maine,97
Maryland,62
Massachusetts,84
Michigan,58
Minnesota,69
Mississippi,65
Missouri,83
Montana,60
Nebraska,80
Nevada,74
New Hampshire,68
New Jersey,68
New Mexico,79
New York,76
North Carolina,57
North Dakota,56
Ohio,67
Oklahoma,75
Oregon,75
Pennsylvania,73
Rhode Island,98
South Carolina,50
South Dakota,57
Tennessee,67
Texas,72
Utah,100
Vermont,83
Virginia,55
Washington,72
West Virginia,64
Wisconsin,54
Wyoming,48
