geoName,overeating
Alabama,55
Alaska,66
Arizona,45
Arkansas,36
California,43
Colorado,47
Connecticut,54
Delaware,52
District of Columbia,51
Florida,34
Georgia,33
Hawaii,34
Idaho,49
Illinois,49
Indiana,58
Iowa,22
Kansas,40
Kentucky,21
Louisiana,49
Maine,55
Maryland,49
Massachusetts,45
Michigan,49
Minnesota,53
Mississippi,25
Missouri,48
Montana,13
Nebraska,54
Nevada,54
New Hampshire,47
New Jersey,38
New Mexico,50
New York,40
North Carolina,41
North Dakota,50
Ohio,43
Oklahoma,38
Oregon,64
Pennsylvania,42
Rhode Island,61
South Carolina,38
South Dakota,100
Tennessee,36
Texas,33
Utah,55
Vermont,74
Virginia,37
Washington,49
West Virginia,27
Wisconsin,42
Wyoming,0
