geoName,overeating
Alabama,25
Alaska,38
Arizona,49
Arkansas,50
California,52
Colorado,63
Connecticut,58
Delaware,53
District of Columbia,64
Florida,49
Georgia,41
Hawaii,72
Idaho,81
Illinois,54
Indiana,56
Iowa,100
Kansas,63
Kentucky,47
Louisiana,40
Maine,95
Maryland,49
Massachusetts,71
Michigan,52
Minnesota,61
Mississippi,42
Missouri,53
Montana,81
Nebraska,49
Nevada,62
New Hampshire,71
New Jersey,59
New Mexico,29
New York,51
North Carolina,60
North Dakota,33
Ohio,53
Oklahoma,43
Oregon,60
Pennsylvania,67
Rhode Island,54
South Carolina,29
South Dakota,0
Tennessee,63
Texas,37
Utah,88
Vermont,61
Virginia,45
Washington,60
West Virginia,57
Wisconsin,57
Wyoming,0
