date,overeating,isPartial
2012-01-01,61,False
2012-01-08,61,False
2012-01-15,42,False
2012-01-22,66,False
2012-01-29,60,False
2012-02-05,64,False
2012-02-12,61,False
2012-02-19,74,False
2012-02-26,77,False
2012-03-04,79,False
2012-03-11,61,False
2012-03-18,49,False
2012-03-25,60,False
2012-04-01,58,False
2012-04-08,62,False
2012-04-15,77,False
2012-04-22,65,False
2012-04-29,94,False
2012-05-06,56,False
2012-05-13,82,False
2012-05-20,66,False
2012-05-27,84,False
2012-06-03,64,False
2012-06-10,71,False
2012-06-17,71,False
2012-06-24,49,False
2012-07-01,66,False
2012-07-08,65,False
2012-07-15,69,False
2012-07-22,75,False
2012-07-29,68,False
2012-08-05,62,False
2012-08-12,57,False
2012-08-19,85,False
2012-08-26,73,False
2012-09-02,70,False
2012-09-09,56,False
2012-09-16,52,False
2012-09-23,62,False
2012-09-30,60,False
2012-10-07,60,False
2012-10-14,55,False
2012-10-21,77,False
2012-10-28,64,False
2012-11-04,54,False
2012-11-11,64,False
2012-11-18,85,False
2012-11-25,100,False
2012-12-02,51,False
2012-12-09,70,False
2012-12-16,46,False
2012-12-23,78,False
2012-12-30,81,False
