geoName,overeating
Alabama,29
Alaska,32
Arizona,46
Arkansas,43
California,45
Colorado,40
Connecticut,65
Delaware,23
District of Columbia,39
Florida,43
Georgia,46
Hawaii,28
Idaho,58
Illinois,42
Indiana,49
Iowa,45
Kansas,41
Kentucky,44
Louisiana,51
Maine,38
Maryland,50
Massachusetts,66
Michigan,50
Minnesota,63
Mississippi,41
Missouri,45
Montana,100
Nebraska,64
Nevada,50
New Hampshire,35
New Jersey,46
New Mexico,55
New York,50
North Carolina,45
North Dakota,31
Ohio,52
Oklahoma,27
Oregon,56
Pennsylvania,53
Rhode Island,66
South Carolina,36
South Dakota,50
Tennessee,45
Texas,40
Utah,36
Vermont,56
Virginia,51
Washington,42
West Virginia,49
Wisconsin,54
Wyoming,0
