date,overeating,isPartial
2011-01-02,65,False
2011-01-09,75,False
2011-01-16,72,False
2011-01-23,60,False
2011-01-30,52,False
2011-02-06,59,False
2011-02-13,59,False
2011-02-20,61,False
2011-02-27,93,False
2011-03-06,100,False
2011-03-13,50,False
2011-03-20,68,False
2011-03-27,51,False
2011-04-03,80,False
2011-04-10,85,False
2011-04-17,74,False
2011-04-24,63,False
2011-05-01,67,False
2011-05-08,63,False
2011-05-15,69,False
2011-05-22,80,False
2011-05-29,55,False
2011-06-05,66,False
2011-06-12,67,False
2011-06-19,71,False
2011-06-26,61,False
2011-07-03,65,False
2011-07-10,55,False
2011-07-17,57,False
2011-07-24,78,False
2011-07-31,69,False
2011-08-07,72,False
2011-08-14,58,False
2011-08-21,60,False
2011-08-28,45,False
2011-09-04,62,False
2011-09-11,56,False
2011-09-18,40,False
2011-09-25,52,False
2011-10-02,54,False
2011-10-09,80,False
2011-10-16,58,False
2011-10-23,52,False
2011-10-30,47,False
2011-11-06,72,False
2011-11-13,59,False
2011-11-20,76,False
2011-11-27,67,False
2011-12-04,60,False
2011-12-11,71,False
2011-12-18,55,False
2011-12-25,72,False
