geoName,overeating
Alabama,21
Alaska,23
Arizona,53
Arkansas,40
California,46
Colorado,47
Connecticut,47
Delaware,33
District of Columbia,48
Florida,43
Georgia,39
Hawaii,33
Idaho,34
Illinois,52
Indiana,48
Iowa,71
Kansas,54
Kentucky,42
Louisiana,38
Maine,67
Maryland,60
Massachusetts,54
Michigan,45
Minnesota,52
Mississippi,23
Missouri,53
Montana,100
Nebraska,34
Nevada,69
New Hampshire,54
New Jersey,42
New Mexico,47
New York,49
North Carolina,59
North Dakota,27
Ohio,46
Oklahoma,67
Oregon,43
Pennsylvania,58
Rhode Island,38
South Carolina,32
South Dakota,56
Tennessee,48
Texas,37
Utah,65
Vermont,77
Virginia,53
Washington,48
West Virginia,45
Wisconsin,58
Wyoming,0
