geoName,alienation
Alabama,56
Alaska,57
Arizona,42
Arkansas,64
California,54
Colorado,46
Connecticut,53
Delaware,0
District of Columbia,54
Florida,46
Georgia,54
Hawaii,69
Idaho,71
Illinois,57
Indiana,41
Iowa,61
Kansas,47
Kentucky,54
Louisiana,48
Maine,46
Maryland,42
Massachusetts,49
Michigan,46
Minnesota,50
Mississippi,73
Missouri,47
Montana,59
Nebraska,57
Nevada,48
New Hampshire,62
New Jersey,56
New Mexico,49
New York,48
North Carolina,100
North Dakota,52
Ohio,46
Oklahoma,44
Oregon,31
Pennsylvania,53
Rhode Island,34
South Carolina,69
South Dakota,45
Tennessee,50
Texas,41
Utah,62
Vermont,60
Virginia,35
Washington,39
West Virginia,47
Wisconsin,42
Wyoming,69
