date,alienation,isPartial
2011-01-02,45,False
2011-01-09,61,False
2011-01-16,52,False
2011-01-23,59,False
2011-01-30,66,False
2011-02-06,70,False
2011-02-13,84,False
2011-02-20,77,False
2011-02-27,74,False
2011-03-06,57,False
2011-03-13,94,False
2011-03-20,67,False
2011-03-27,72,False
2011-04-03,76,False
2011-04-10,100,False
2011-04-17,77,False
2011-04-24,73,False
2011-05-01,89,False
2011-05-08,70,False
2011-05-15,69,False
2011-05-22,59,False
2011-05-29,51,False
2011-06-05,80,False
2011-06-12,55,False
2011-06-19,39,False
2011-06-26,40,False
2011-07-03,50,False
2011-07-10,53,False
2011-07-17,55,False
2011-07-24,61,False
2011-07-31,64,False
2011-08-07,47,False
2011-08-14,44,False
2011-08-21,46,False
2011-08-28,54,False
2011-09-04,59,False
2011-09-11,67,False
2011-09-18,44,False
2011-09-25,67,False
2011-10-02,79,False
2011-10-09,77,False
2011-10-16,76,False
2011-10-23,68,False
2011-10-30,65,False
2011-11-06,72,False
2011-11-13,62,False
2011-11-20,67,False
2011-11-27,90,False
2011-12-04,88,False
2011-12-11,71,False
2011-12-18,49,False
2011-12-25,39,False
