date,alienation,isPartial
2016-01-03,28,False
2016-01-10,35,False
2016-01-17,40,False
2016-01-24,43,False
2016-01-31,40,False
2016-02-07,36,False
2016-02-14,42,False
2016-02-21,47,False
2016-02-28,36,False
2016-03-06,35,False
2016-03-13,41,False
2016-03-20,39,False
2016-03-27,39,False
2016-04-03,47,False
2016-04-10,46,False
2016-04-17,50,False
2016-04-24,100,False
2016-05-01,75,False
2016-05-08,57,False
2016-05-15,48,False
2016-05-22,42,False
2016-05-29,36,False
2016-06-05,27,False
2016-06-12,33,False
2016-06-19,36,False
2016-06-26,34,False
2016-07-03,31,False
2016-07-10,30,False
2016-07-17,28,False
2016-07-24,26,False
2016-07-31,28,False
2016-08-07,22,False
2016-08-14,33,False
2016-08-21,29,False
2016-08-28,33,False
2016-09-04,28,False
2016-09-11,38,False
2016-09-18,50,False
2016-09-25,43,False
2016-10-02,49,False
2016-10-09,49,False
2016-10-16,42,False
2016-10-23,43,False
2016-10-30,37,False
2016-11-06,34,False
2016-11-13,41,False
2016-11-20,25,False
2016-11-27,41,False
2016-12-04,50,False
2016-12-11,46,False
2016-12-18,21,False
2016-12-25,22,False
