date,alienation,isPartial
2013-01-06,55,False
2013-01-13,60,False
2013-01-20,67,False
2013-01-27,78,False
2013-02-03,70,False
2013-02-10,83,False
2013-02-17,82,False
2013-02-24,71,False
2013-03-03,70,False
2013-03-10,83,False
2013-03-17,84,False
2013-03-24,67,False
2013-03-31,76,False
2013-04-07,88,False
2013-04-14,74,False
2013-04-21,90,False
2013-04-28,89,False
2013-05-05,88,False
2013-05-12,78,False
2013-05-19,65,False
2013-05-26,77,False
2013-06-02,58,False
2013-06-09,53,False
2013-06-16,46,False
2013-06-23,45,False
2013-06-30,58,False
2013-07-07,57,False
2013-07-14,46,False
2013-07-21,65,False
2013-07-28,44,False
2013-08-04,53,False
2013-08-11,62,False
2013-08-18,75,False
2013-08-25,58,False
2013-09-01,54,False
2013-09-08,71,False
2013-09-15,71,False
2013-09-22,94,False
2013-09-29,84,False
2013-10-06,90,False
2013-10-13,98,False
2013-10-20,90,False
2013-10-27,100,False
2013-11-03,83,False
2013-11-10,82,False
2013-11-17,79,False
2013-11-24,57,False
2013-12-01,90,False
2013-12-08,91,False
2013-12-15,89,False
2013-12-22,36,False
2013-12-29,42,False
