geoName,alienation
Alabama,61
Alaska,25
Arizona,38
Arkansas,30
California,36
Colorado,37
Connecticut,39
Delaware,33
District of Columbia,38
Florida,38
Georgia,46
Hawaii,30
Idaho,26
Illinois,36
Indiana,38
Iowa,45
Kansas,22
Kentucky,41
Louisiana,33
Maine,30
Maryland,36
Massachusetts,31
Michigan,38
Minnesota,25
Mississippi,100
Missouri,42
Montana,68
Nebraska,34
Nevada,21
New Hampshire,59
New Jersey,45
New Mexico,40
New York,46
North Carolina,71
North Dakota,62
Ohio,39
Oklahoma,47
Oregon,41
Pennsylvania,43
Rhode Island,38
South Carolina,64
South Dakota,83
Tennessee,37
Texas,36
Utah,37
Vermont,46
Virginia,44
Washington,26
West Virginia,45
Wisconsin,43
Wyoming,17
