date,alienation,isPartial
2015-01-04,53,False
2015-01-11,55,False
2015-01-18,53,False
2015-01-25,68,False
2015-02-01,70,False
2015-02-08,72,False
2015-02-15,64,False
2015-02-22,99,False
2015-03-01,83,False
2015-03-08,61,False
2015-03-15,76,False
2015-03-22,63,False
2015-03-29,70,False
2015-04-05,74,False
2015-04-12,87,False
2015-04-19,75,False
2015-04-26,87,False
2015-05-03,76,False
2015-05-10,79,False
2015-05-17,59,False
2015-05-24,38,False
2015-05-31,68,False
2015-06-07,53,False
2015-06-14,51,False
2015-06-21,41,False
2015-06-28,52,False
2015-07-05,53,False
2015-07-12,51,False
2015-07-19,56,False
2015-07-26,45,False
2015-08-02,58,False
2015-08-09,45,False
2015-08-16,66,False
2015-08-23,67,False
2015-08-30,79,False
2015-09-06,78,False
2015-09-13,58,False
2015-09-20,80,False
2015-09-27,100,False
2015-10-04,72,False
2015-10-11,64,False
2015-10-18,76,False
2015-10-25,86,False
2015-11-01,86,False
2015-11-08,72,False
2015-11-15,79,False
2015-11-22,60,False
2015-11-29,70,False
2015-12-06,76,False
2015-12-13,73,False
2015-12-20,43,False
2015-12-27,39,False
