geoName,alienation
Alabama,46
Alaska,81
Arizona,37
Arkansas,58
California,42
Colorado,43
Connecticut,76
Delaware,35
District of Columbia,33
Florida,44
Georgia,49
Hawaii,31
Idaho,69
Illinois,48
Indiana,38
Iowa,41
Kansas,39
Kentucky,29
Louisiana,39
Maine,52
Maryland,57
Massachusetts,53
Michigan,37
Minnesota,45
Mississippi,71
Missouri,49
Montana,36
Nebraska,40
Nevada,41
New Hampshire,34
New Jersey,49
New Mexico,84
New York,49
North Carolina,95
North Dakota,52
Ohio,49
Oklahoma,42
Oregon,40
Pennsylvania,51
Rhode Island,44
South Carolina,54
South Dakota,100
Tennessee,37
Texas,35
Utah,45
Vermont,49
Virginia,44
Washington,45
West Virginia,54
Wisconsin,49
Wyoming,42
