geoName,alienation
Alabama,73
Alaska,24
Arizona,46
Arkansas,100
California,52
Colorado,57
Connecticut,40
Delaware,80
District of Columbia,43
Florida,44
Georgia,53
Hawaii,60
Idaho,54
Illinois,55
Indiana,58
Iowa,52
Kansas,46
Kentucky,38
Louisiana,57
Maine,53
Maryland,41
Massachusetts,42
Michigan,59
Minnesota,52
Mississippi,88
Missouri,49
Montana,54
Nebraska,71
Nevada,31
New Hampshire,61
New Jersey,51
New Mexico,36
New York,45
North Carolina,97
North Dakota,78
Ohio,53
Oklahoma,45
Oregon,55
Pennsylvania,52
Rhode Island,86
South Carolina,55
South Dakota,79
Tennessee,52
Texas,46
Utah,50
Vermont,34
Virginia,34
Washington,43
West Virginia,49
Wisconsin,52
Wyoming,38
