date,sleep,isPartial
2012-01-01,96,False
2012-01-08,95,False
2012-01-15,92,False
2012-01-22,92,False
2012-01-29,91,False
2012-02-05,91,False
2012-02-12,89,False
2012-02-19,98,False
2012-02-26,95,False
2012-03-04,89,False
2012-03-11,92,False
2012-03-18,91,False
2012-03-25,89,False
2012-04-01,89,False
2012-04-08,88,False
2012-04-15,89,False
2012-04-22,89,False
2012-04-29,88,False
2012-05-06,88,False
2012-05-13,87,False
2012-05-20,89,False
2012-05-27,89,False
2012-06-03,86,False
2012-06-10,88,False
2012-06-17,90,False
2012-06-24,90,False
2012-07-01,91,False
2012-07-08,94,False
2012-07-15,96,False
2012-07-22,93,False
2012-07-29,97,False
2012-08-05,94,False
2012-08-12,92,False
2012-08-19,97,False
2012-08-26,96,False
2012-09-02,99,False
2012-09-09,93,False
2012-09-16,91,False
2012-09-23,94,False
2012-09-30,92,False
2012-10-07,89,False
2012-10-14,90,False
2012-10-21,87,False
2012-10-28,83,False
2012-11-04,85,False
2012-11-11,89,False
2012-11-18,86,False
2012-11-25,91,False
2012-12-02,94,False
2012-12-09,89,False
2012-12-16,84,False
2012-12-23,91,False
2012-12-30,100,False
