date,sleep,isPartial
2016-01-03,100,False
2016-01-10,87,False
2016-01-17,88,False
2016-01-24,84,False
2016-01-31,83,False
2016-02-07,85,False
2016-02-14,89,False
2016-02-21,92,False
2016-02-28,88,False
2016-03-06,86,False
2016-03-13,86,False
2016-03-20,88,False
2016-03-27,86,False
2016-04-03,91,False
2016-04-10,90,False
2016-04-17,85,False
2016-04-24,85,False
2016-05-01,83,False
2016-05-08,82,False
2016-05-15,83,False
2016-05-22,85,False
2016-05-29,84,False
2016-06-05,85,False
2016-06-12,86,False
2016-06-19,91,False
2016-06-26,91,False
2016-07-03,88,False
2016-07-10,87,False
2016-07-17,85,False
2016-07-24,87,False
2016-07-31,85,False
2016-08-07,80,False
2016-08-14,85,False
2016-08-21,90,False
2016-08-28,87,False
2016-09-04,88,False
2016-09-11,85,False
2016-09-18,83,False
2016-09-25,80,False
2016-10-02,86,False
2016-10-09,85,False
2016-10-16,87,False
2016-10-23,84,False
2016-10-30,86,False
2016-11-06,76,False
2016-11-13,88,False
2016-11-20,83,False
2016-11-27,88,False
2016-12-04,86,False
2016-12-11,86,False
2016-12-18,82,False
2016-12-25,93,False
