geoName,sleep
Alabama,96
Alaska,91
Arizona,86
Arkansas,87
California,87
Colorado,87
Connecticut,86
Delaware,89
District of Columbia,75
Florida,79
Georgia,85
Hawaii,84
Idaho,85
Illinois,82
Indiana,91
Iowa,85
Kansas,85
Kentucky,93
Louisiana,90
Maine,86
Maryland,89
Massachusetts,84
Michigan,92
Minnesota,89
Mississippi,96
Missouri,85
Montana,93
Nebraska,84
Nevada,79
New Hampshire,86
New Jersey,85
New Mexico,92
New York,84
North Carolina,88
North Dakota,95
Ohio,84
Oklahoma,88
Oregon,90
Pennsylvania,88
Rhode Island,87
South Carolina,89
South Dakota,98
Tennessee,94
Texas,83
Utah,94
Vermont,89
Virginia,90
Washington,93
West Virginia,91
Wisconsin,83
Wyoming,100
