geoName,sleep
Alabama,92
Alaska,94
Arizona,87
Arkansas,92
California,95
Colorado,90
Connecticut,80
Delaware,92
District of Columbia,81
Florida,82
Georgia,84
Hawaii,92
Idaho,91
Illinois,85
Indiana,89
Iowa,89
Kansas,87
Kentucky,90
Louisiana,92
Maine,86
Maryland,90
Massachusetts,88
Michigan,86
Minnesota,92
Mississippi,93
Missouri,89
Montana,97
Nebraska,89
Nevada,92
New Hampshire,90
New Jersey,85
New Mexico,95
New York,84
North Carolina,90
North Dakota,99
Ohio,87
Oklahoma,93
Oregon,61
Pennsylvania,90
Rhode Island,86
South Carolina,87
South Dakota,90
Tennessee,93
Texas,82
Utah,94
Vermont,84
Virginia,75
Washington,100
West Virginia,100
Wisconsin,86
Wyoming,97
