geoName,sleep
Alabama,96
Alaska,98
Arizona,90
Arkansas,92
California,92
Colorado,87
Connecticut,91
Delaware,95
District of Columbia,85
Florida,86
Georgia,88
Hawaii,81
Idaho,95
Illinois,85
Indiana,86
Iowa,92
Kansas,78
Kentucky,100
Louisiana,91
Maine,87
Maryland,93
Massachusetts,85
Michigan,89
Minnesota,89
Mississippi,98
Missouri,89
Montana,94
Nebraska,92
Nevada,89
New Hampshire,88
New Jersey,86
New Mexico,89
New York,82
North Carolina,86
North Dakota,97
Ohio,89
Oklahoma,90
Oregon,76
Pennsylvania,93
Rhode Island,87
South Carolina,92
South Dakota,92
Tennessee,95
Texas,84
Utah,98
Vermont,87
Virginia,69
Washington,99
West Virginia,97
Wisconsin,87
Wyoming,96
