geoName,sleep
Alabama,88
Alaska,90
Arizona,88
Arkansas,92
California,92
Colorado,88
Connecticut,84
Delaware,91
District of Columbia,78
Florida,76
Georgia,83
Hawaii,79
Idaho,90
Illinois,83
Indiana,84
Iowa,82
Kansas,85
Kentucky,94
Louisiana,89
Maine,83
Maryland,89
Massachusetts,86
Michigan,84
Minnesota,87
Mississippi,90
Missouri,86
Montana,94
Nebraska,84
Nevada,85
New Hampshire,89
New Jersey,82
New Mexico,91
New York,86
North Carolina,88
North Dakota,97
Ohio,85
Oklahoma,94
Oregon,66
Pennsylvania,92
Rhode Island,84
South Carolina,88
South Dakota,89
Tennessee,91
Texas,82
Utah,86
Vermont,80
Virginia,92
Washington,95
West Virginia,88
Wisconsin,83
Wyoming,100
